Name,Label,Owner,Ownership,Proof,Shanai,Kodomo,Type,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate
ハイランド保育園,ハイランド保育園,,,,,,認可保育所,ハイランド2-12-17,,35.21987143,139.6844123,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000062.html,046-849-3833,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）障害児保,,,,,,
上町保育園,上町保育園,,,,,,認可保育所,佐野町1-20,,35.2673762,139.6707735,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000069.html,046-822-5244,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）特定保育,,,,,,
衣笠愛児園,衣笠愛児園,,,,,,認可保育所,平作8-14-1,,35.25984723,139.6504351,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000204.html,046-851-2214,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前7：00～午後7：00土曜日午前7：00～午後4：00【事業内容】延長保育（平日午後6：00以降の保育）障害児保育（集団保育が可能な心身に障害を有するお子さんの保育）,,,,,,
パンダ保育園,パンダ保育園,,,,,,認可保育所,追浜町3-1エルシャンテビル内,,35.31458297,139.6252686,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc100000852.html,046-867-2988,046-867-2988,,,,,,,利用方法【申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後7：00土曜日　午前7：00～午後4：00【事業内容】延長保育（平日午後6：00以降の保育）,,,,,,
田浦保育園,田浦保育園,,,,,,認可保育所,長浦町1-1597,,35.2928442,139.6454961,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000305.html,046-823-2610,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後８：００土曜日　午前７：００～午後６：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～８：００）（ただし、午後６：００～６：３０は無料）,,,,,,
長井婦人会保育園,長井婦人会保育園,,,,,,認可保育所,長井2-2-3,,35.20369324,139.6201576,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000157.html,046-856-1179,,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。

【保育時間】

平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後3時00分

【事業内容】

延長保育（平日午後6時00分以降の保育）

障害児保育（集団保育が可能な心身に障害を有するお子さんの・",,,,,,
うさぎ保育園,うさぎ保育園,,,,,,認可保育所,根岸町3-16-2,,35.25317765,139.6837222,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc10000906.html,046-807-2288,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日午前７：００～午後４：００ 【事業内容】延長保育（平日午後６：００以降の保育）,,,,,,
のばら保育園,のばら保育園,,,,,,認可保育所,追浜町2-16-7,,35.31405299,139.6257586,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc100000853.html,046-865-0905,046-865-0905,,,,,,,利用方法【申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後8：00土曜日午前7：00～午後4：00【事業内容】延長保育（平日午後6：00以降の保育）,,,,,,
ハッピープリスクール,ハッピープリスクール,,,,,,認可保育所,大津町1-12-20,,35.26120662,139.6967512,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc10000883.html,046-838-5677,,,,,,,,利用方法【申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前６：３０～午後９：００土曜日午前６：３０～午後４：００ 【事業内容】延長保育（平日午後６：３０以降の保育）,,,,,,
逸見保育園,逸見保育園,,,,,,認可保育所,西逸見町1-37,,35.28332485,139.6514753,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000112.html,046-822-2959,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）障害児保,,,,,,
平作保育園,平作保育園,,,,,,認可保育所,平作6-4-33,,35.2556877,139.6499052,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000457.html,046-852-6611,,,,,,,,"【利用方法(申込方法)】保育園の入所案内からご覧ください。

【保育時間】平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後5時00分

【事業内容】延長保育（平日午後6：00以降の保育）",,,,,,
三和保育園分園,三和保育園分園,,,,,,認可保育所,安浦町2-7,,35.2720356,139.6780729,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00001104.html,046-820-6761,,,,,,,,"【利用方法(申込方法)】

　保育園の入所案内からご覧ください。

【保育時間】

　平日　午前７：００～午後７：００

　土曜日　午前７：００～午後３：００

【事業内容】

  延長保育（平日午後６：００以降の保育）

",,,,,,
しらかばこども園,しらかばこども園,,,,,,認可保育所,池田町1-22-12,,35.25590718,139.6960612,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000214.html,046-834-0690,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後7：00土曜日　午前7：00～午後6：00【事業内容】乳児保育（産休明けから） 延長保育（平日午後6：00以降の保育）障害児保育（集団保育が可能な心身に障害を有するお子さんの保育,,,,,,
太田和こども園,太田和こども園,,,,,,認可保育所,太田和3-733,,35.22846076,139.6403762,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000232.html,046-857-5544,,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。

【保育時間】

平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後4時00分

【事業内容】

延長保育（平日午後6時00分以降の保育）

地域育児センター（育児相談、地域児童等との交流）

一時保・",,,,,,
三和保育園,三和保育園,,,,,,認可保育所,田戸台26,,35.27143569,139.6731533,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000212.html,046-822-0479,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後7：00土曜日　午前7：00～午後3：00【事業内容】延長保育（平日午後6：00以降の保育）,,,,,,
しらかばこども園新大津分園,しらかばこども園新大津分園,,,,,,認可保育所,大津町4-8-6,,35.25797803,139.6901227,https://www.city.yokosuka.kanagawa.jp/3480/sisetu/sirakabasinootu.html,046-834-0302,,,,,,,,,,,,,,
衣笠保育園,衣笠保育園,,,,,,認可保育所,小矢部1-4-2,,35.25472677,139.6673776,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000172.html,046-836-1617,,,,,,,,"【利用方法(申込方法)】保育園の入所案内からご覧ください。

【保育時間】平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後5時00分

【事業内容】延長保育（平日午後6：00以降の保育）",,,,,,
しらかばこども園分園,しらかばこども園分園,,,,,,認可保育所,池田町1-19-18,,35.25525727,139.6944413,https://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc10000913.html,046-835-5821,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日午前７：００～午後６：００【事業内容】乳児保育（産休明けから） 延長保育（平日午後６：００以降の保育） 障害児保育（集団保育が可能な心身に障害を有するお,,,,,,
船越保育園,船越保育園,,,,,,認可保育所,船越町6-69,,35.3011337,139.6283482,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000073.html,046-861-3254,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００ 土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）障害児・,,,,,,
長井保育園,長井保育園,,,,,,認可保育所,長井5-9-5,,35.20461318,139.6115083,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000223.html,046-856-4559,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後7：00土曜日　午前7：00～午後6：00【事業内容】延長保育（平日午後6：00以降の保育）,,,,,,
太田和こども園分園,太田和こども園分園,,,,,,認可保育所,太田和3-1177-3,,35.2279058,139.6389293,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00001419.html,046-857-5544,046-857-5559,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。

【保育時間】

平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後4時00分

【事業内容】

延長保育（平日午後6時00分以降の保育）

地域育児センター（育児相談、地域児童等との交流）

一時保・",,,,,,
大楠愛児園,大楠愛児園,,,,,,認可保育所,芦名1-31-17,,35.23419982,139.6090588,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000200.html,046-856-0155,046-856-0495,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後7：00土曜日　午前7：00～午後4：00【事業内容】延長保育（平日午後6：00以降の保育）地域育児センター（育児相談、地域児童等との交流）一時保育（保護者の病気等の緊急時、冠・,,,,,,
善隣園保育センター分園こばと園,善隣園保育センター分園こばと園,,,,,,認可保育所,東逸見町1-1,,35.28402477,139.6531252,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000576.html,046-828-5211,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後7：00土曜日　午前7：00～午後5：00【事業内容】延長保育（平日午後6：00以降の保育）障害児保育（集団保育が可能な心身に障害を有するお子さん保育）子育て相談（保育、子育て・,,,,,,
うわまち幼稚園 コスモランド【小規模保育事業】,うわまち幼稚園 コスモランド【小規模保育事業】,,,,,,認可保育所,上町2-10,,35.27400441,139.6698186,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00001420.html,046-823-3857,046-824-1030,,,,,,,"【利用方法（申し込み方法）】

保育園の入所案内からご覧ください。

【保育年齢】

0歳児～2歳児

【保育時間】

平　日　午前7時15分～午後6時15分

土曜日　午前7時15分～午後3時00分

【休園日】

日曜日・祝祭日・年末年始

【事業内容】

延長保育（平日午後6時15分・",,,,,,
富士保育園,富士保育園,,,,,,認可保育所,久里浜5-3-9,,35.23016999,139.7067902,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000229.html,046-835-0104,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後7：00土曜日　午前7：00～午後4：00【事業内容】延長保育（平日午後6：00以降の保育）,,,,,,
キッズルーム　さくらんぼぅ（認可外保育園）,キッズルーム　さくらんぼぅ（認可外保育園）,,,,,,認可外,若松町3丁目4番地ファーストビル3F,,35.27873681,139.6733473,http://sakuranbo.jewel-estate.jp/,046-821-3196,046-821-3196,,,,,,,,,,,,,
長岡保育園,長岡保育園,,,,,,認可保育所,長沢1-25-8,,35.20422333,139.6771132,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000256.html,046-848-0147,,,,,,,,"【利用方法(申込方法)】保育園の入所案内からご覧ください

【保育時間】

平日　 午前7時00分～午後8時00分

土曜日 午前7時00分～午後3時00分



【事業内容】

延長保育（平日午後6時00分以降の保育）

地域育児センター（育児相談、地域児童等の交流）

障害児保育（集・",,,,,,
オンリーワン幼稚舎(認可外保育園),オンリーワン幼稚舎(認可外保育園),,,,,,認可外,久里浜5-2-10日洋ビル1F,,35.23055396,139.7054033,http://en-c.lovepop.jp/onlyone/index.html,046-835-0068,046-835-0068,,,,,,,,,,,,,
ヨコスカインターナショナルスクールプリスクール&キンダーガーデン【認可外保育施設】,ヨコスカインターナショナルスクールプリスクール&キンダーガーデン【認可外保育施設】,,,,,,認可外,東逸見町1-30,,35.28184495,139.6529392,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/ninnkagaihoikusisetu/yipk-ls.html,046-874-5762,,,,,,,,"【利用方法（申し込み方法）】

施設へ直接お問い合わせください。

【保育年齢】

2歳児～5歳児

【保育時間】

平日7時00分～19時00分

【休園日】

土曜日・日曜日・祝日",,,,,,
鶴が丘保育園,鶴が丘保育園,,,,,,認可保育所,鶴が丘2-3-1,,35.26557657,139.6587945,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000072.html,046-824-6282,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）障害児保,,,,,,
追浜保育室ニコニコ（小規模保育事業）,追浜保育室ニコニコ（小規模保育事業）,,,,,,認可保育所,追浜東町3-65 追浜会館ビルA棟1F,,35.31708773,139.6325979,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/ninnkagaihoikusisetu/oppamanikoniko.html,046-866-2202,046-866-2202,,,,,,,,,,,,,
横須賀バイリンガルスクール（認可外保育園）,横須賀バイリンガルスクール（認可外保育園）,,,,,,認可外,大滝町2-6 3F,,35.28046671,139.6702856,http://ybschool.jp/,046-884-9763,046-884-3701,,,,,,,,,,,,,
サンチャイルド保育園（認可外保育園）,サンチャイルド保育園（認可外保育園）,,,,,,認可外,大津町1-22-9,,35.26413133,139.6957673,http://sun-child.jp/,046-824-0660,046-824-0660,,,,,,,,,,,,,
佐野保育園,佐野保育園,,,,,,認可保育所,佐野町5-7,,35.260697,139.6697135,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000210.html,046-851-2138,,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。

【保育時間】

平日　 午前6時45分～午後7時00分

土曜日 午前6時45分～午後4時00分

【事業内容】

延長保育（平日午後6時00分以降の保育）

地域育児センター（育児相談、地域児童等との交流）

一時保・",,,,,,
小光子愛育園,小光子愛育園,,,,,,認可保育所,佐野町3-15,,35.26234681,139.6693935,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000216.html,046-853-1760,,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。



【保育時間】

平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後6時00分(第2・第4土曜日は午前7時00分～午後1時00分）



【事業内容】

延長保育（平日午後6時00分以降の保育）

一時保育（",,,,,,
日の出保育園,日の出保育園,,,,,,認可保育所,桜が丘1-47-1,,35.25463727,139.7010708,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000225.html,046-835-5874,,,,,,,,"【利用方法(申込方法)】保育園の入所案内からご覧ください。

【保育時間】

平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後3時00分

【事業内容】

延長保育（平日午後6時00分以降の保育）

障害児保育（集団保育が可能な心身に障害を有するお子さんの保育)",,,,,,
小光子愛育園分園きらきら星,小光子愛育園分園きらきら星,,,,,,認可保育所,日の出町1-6　フォレースよこすか3Ｆ,,35.28007472,139.6739132,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000575.html,046-821-3335,,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。

【保育時間】

平日 　午前7時00分～午後7時00分

土曜日 午前7時00分～午後6時00分(第2・第4土曜日は午前7時00分～午後1時00分）

【事業内容】

延長保育（平日午後6時00分以降の保育）

一時保育（保護",,,,,,
玉成保育園,玉成保育園,,,,,,認可保育所,三春町5-32,,35.26173664,139.6881519,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000221.html,046-823-2548,,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。

【保育時間】

平日　午前7時00分～午後7時00分

土曜日　午前7時00分～午後6時00分(第2・第4土曜日は午前7時00分～午後1時00分）

【事業内容】

延長保育（平日午後6時00分以降の保育）

地域育児センタ",,,,,,
追浜保育園,追浜保育園,,,,,,認可保育所,追浜本町2-1,,35.31959262,139.6295382,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000074.html,046-865-3502,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）障害児保,,,,,,
はなまる保育園,はなまる保育園,,,,,,認可保育所,久里浜2-1-2,,35.2296801,139.7016406,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc100000870.html,046-835-1007,,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。

【保育時間】

平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後6時00分

【事業内容】

延長保育（平日午後6時00分以降の保育）",,,,,,
ベネッセ汐入保育園,ベネッセ汐入保育園,,,,,,認可保育所,本町3-23-7,,35.28267471,139.6632242,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000251.html,046-821-5191,,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。

【保育時間】

平日　 午前7時00分～午後8時00分

土曜日 午前7時00分～午後6時00分

【事業内容】

延長保育（平日午後6時00分以降の保育）

※保育年齢：産休明けから2歳児まで",,,,,,
心育保育園,心育保育園,,,,,,認可保育所,久里浜6-4-1シーフロント久里浜１階A号,,35.22743828,139.7105209,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/kokoiku.html,046-845-6030,,,,,,,,,,,,,,
にじいろ保育園（ポピー）,にじいろ保育園（ポピー）,,,,,,認可保育所,久里浜4-12-2,,35.23218979,139.7036405,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00001131.html,046-838-4181,046-838-4182,,,,,,,利用方法【申込方法】保育園の入所案内からご覧ください。【保育時間】平　日　午前7:00～午後8:00　土曜日　午前7:00～午後6:00【事業内容】延長保育（平日　午後6:00以降の保育）,,,,,,
三和保育園上町分園,三和保育園上町分園,,,,,,認可保育所,上町2丁目31番地,,35.27255862,139.6681328,https://www.city.yokosuka.kanagawa.jp/3480/sisetu/mituwauwamati.html,046-824-7881,,,,,,,,,,,,,,
横須賀シュタイナーこども園【認可外保育施設】,横須賀シュタイナーこども園【認可外保育施設】,,,,,,認可外,衣笠栄町3-49,,35.2595093,139.6595763,http://www.yokosuka-steiner.sakura.ne.jp/,046-853-7280,046-853-7280,,,,,,,,,,,,,
にじいろ保育園（コスモス）,にじいろ保育園（コスモス）,,,,,,認可保育所,久里浜4-7-8,,35.23036,139.7036305,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00001106.html,046-835-2216,046-835-2216,,,,,,,利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日 午前7:00～午後8:00　土曜日　午前7:00～午後6:00 【事業内容】延長保育（平日午後6:00以降の保育）,,,,,,
コアラ保育園,コアラ保育園,,,,,,認可保育所,安浦町2-11,,35.27257554,139.676833,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00001105.html,046-801-8588,046-801-8588,,,,,,,利用方法【(申込方法)】 保育園の入所案内からご覧ください。【保育時間】平日　午前7:00～午後7:00 土曜日　午前7:00～午後4:00【事業内容】延長保育（平日午後6:00以降の保育）,,,,,,
津久井保育園,津久井保育園,,,,,,認可保育所,津久井2-14-22,,35.19991383,139.6691239,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000061.html,046-849-1747,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）一時保育,,,,,,
武山保育園,武山保育園,,,,,,認可保育所,武4-17-1,,35.22514112,139.642656,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000060.html,046-856-3175,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）障害児保,,,,,,
しんわピノキオ保育ランド（保育所）,しんわピノキオ保育ランド（保育所）,,,,,,認可保育所,安浦町3-16,,35.27077574,139.6787008,http://www.pinokiohoikuland.com/,046-854-4990,046-854-4991,,,,,,,,,,,,,
鴨居幼稚園,鴨居幼稚園,,,,,,幼稚園,鴨居3-9-1,,35.2504475,139.7342684,http://www.city.yokosuka.kanagawa.jp/3470/sisetu/fc00000180.html,046-841-1491,046-842-2855,,,,,,,【入園資格】満３歳から就学まで【入園受付】11月１日から※年度途中の入園については、お問い合わせください。【保育時間】月・火・木・金10:00から14:00 水10:00から13:00【休園日】日曜・祝日、土曜日（その他夏季・冬季等園で定める日）,,,,,,
城北幼稚園,城北幼稚園,,,,,,幼稚園,平作6-3-10,,35.25535774,139.6502651,http://www.city.yokosuka.kanagawa.jp/3470/sisetu/fc00000209.html,046-851-3803,046-852-4417,,,,,,,【入園資格】 満３歳から就学まで【入園受付】11月１日から ※年度途中の入園については、お問い合わせください。【保育時間】８時30分から14時まで【休園日】日曜・祝日、土曜日（その他夏季・冬季等園で定める日） 【園の特徴】緑に囲まれた環境の中で、知育・徳育・音体・,,,,,,
湘南長沢幼稚園,湘南長沢幼稚園,,,,,,幼稚園,グリーンハイツ13-2,,35.20709298,139.6741734,http://www.city.yokosuka.kanagawa.jp/3470/sisetu/fc00000207.html,046-849-6407,,,,,,,,,,,,,,
湘南栄光幼稚園,湘南栄光幼稚園,,,,,,幼稚園,浦上台3-29-3,,35.25549705,139.7170396,http://www.city.yokosuka.kanagawa.jp/3470/sisetu/fc00000205.html,046-841-2307,,,,,,,,,,,,,,
幼保連携型認定こども園 追浜幼稚園,幼保連携型認定こども園 追浜幼稚園,,,,,Y,幼稚園,鷹取町1-1-2,,35.31617291,139.6233788,http://www.city.yokosuka.kanagawa.jp/3470/sisetu/fc00000182.html,046-865-2008,046-865-2008,,,,,,,【入園資格】満３歳から就学まで【入園受付】11月1日から ※年度途中の入園については、お問い合わせください。【保育時間】９時から14時まで（水曜日は11時30分まで）【休園日】土曜・日曜・祝日（その他夏季・冬季等園で定める日）【園の特徴】自然の中でのびのび育つ総合,,,,,,
白鳩幼稚園,白鳩幼稚園,,,,,,幼稚園,追浜本町2-1-2,,35.31768273,139.6301081,http://www.city.yokosuka.kanagawa.jp/3470/sisetu/fc00000211.html,046-865-3668,046-865-3678,,,,,,,【入園資格】満３歳から就学まで【入園受付】11月１日から※年度途中の入園については、お問い合わせください。【保育時間】８時30分から14時30分まで（第１、第３土曜日は11時30分まで）【休園日】日曜・祝日、第２、第４土曜日（その他夏季・冬季等園で定める日）,,,,,,
ぎんのすず幼稚園,ぎんのすず幼稚園,,,,,,幼稚園,追浜町2-70,,35.31151313,139.6257086,http://www.city.yokosuka.kanagawa.jp/3470/sisetu/fc00000174.html,046-865-2093,,,,,,,,,,,,,,
大楠幼稚園（公立）,大楠幼稚園（公立）,,公立,,,,幼稚園,芦名1-29-1,,35.23423981,139.6071389,http://www.city.yokosuka.kanagawa.jp/8310/sisetu/fc00000054.html,046-857-3601,046-856-0245,,,,,,,【入園資格】満４歳から就学まで【入園受付】11月１日から　年度途中の入園については、お問い合わせください。【保育時間】９時から14時まで（水曜日は11時30分まで）【休園日】土曜・日曜・祝日（その他夏季・冬季等園で定める日）,,,,,,
